    1000.0     0.59967591
     950.0     0.59705648
     900.0     0.59380914
     850.0     0.58927686
     800.0     0.58209345
     750.0     0.56941632
     700.0     0.54640386
     650.0     0.51037472
     600.0     0.46684940
     550.0     0.42175982
     500.0     0.37696535
     450.0     0.33281041
     400.0     0.28939504
     350.0     0.24681070
     300.0     0.20517331
     250.0     0.16463840
     200.0     0.12542603
     150.0     0.08787313
     100.0     0.05256887
      50.0     0.02084152
      40.0     0.01520177
      30.0     0.00993798
      20.0     0.00520701
      10.0     0.00146601
       5.0     0.00036046
 ! Energy shift offset (EF = 0 -> EF = DEF) [eV]:  -2.7000000000000001E-003
 ! The valence electron concentration (VEC):   3.9999997000000000     
